unique_values,counts
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - ChemicalSubstance - Disease']",2
"['Drug - BiologicalProcess - Disease', 'Drug - PhenotypicFeature - Disease']",2
"['Drug - Protein - Pathway - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - MolecularActivity - BiologicalProcess - Disease']",2
"['Drug - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
['Drug - MolecularActivity - ChemicalSubstance - Disease'],2
"['Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",2
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",2
['Drug - Protein - GrossAnatomicalStructure - Disease'],2
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease']",2
"['Drug - ChemicalSubstance - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",2
"['Drug - ChemicalSubstance - Cell - Disease', 'Drug - Protein - Cell - Disease']",2
